doi,exponential_a,exponential_b,exponential_c,exponential_r2,linear_a,linear_b,linear_r2,mean_ss,std_dev_ss
10.1038/ncomms2827,78.401951138417331,0.19878800183997697,2.178022853259844,0.20191012461130872,-0.00053167783837320824,2.4266746571820867,1.0071797818707313,2.1270207852193996,2.0781575251498703
10.1038/ncomms8414,1396.1096997733691,0.25032000666245552,22.49409721443978,0.22859940419141822,-0.060000923759616541,34.538070887242071,0.98754181986180534,21.138020833333332,14.204943837137572
10.1038/ncomms2812,238.27541190082474,0.23192918810462898,12.310407839796838,0.6170940842748458,-0.001393990629207309,12.574227856225264,0.99920147684371785,11.73308957952468,13.113066949565432
10.1038/ncomms8278,546.10369535075858,0.11986504678215013,20.344075442215573,0.69913955191914712,-0.066534294272514893,36.164165632429963,0.97841004379052654,21.230971128608925,64.33919454092522
10.1038/ncomms8098,37.482169924273556,0.011359288831223458,1.4910390597319503,0.30794107833017148,-0.04946623814424167,19.044320910758085,0.53569014258565906,8.0921052631578956,8.5865219225109932
10.1038/ncomms8156,34.845641610297186,0.22124859126864671,2.7171933266276898,0.49037655978869515,0.0010973418636703925,2.400574828965897,1.0339809936997451,2.6693877551020408,2.4761889810864912
10.1038/ncomms8522,40.460759642141184,0.072230050135972224,4.0950505549441374,0.73567478320347568,0.00011918548663936157,4.2839979317631016,1.0171071323439629,4.311827956989247,3.9639373314337099
10.1038/ncomms2921,121.97171878628208,0.049473501340291166,6.9585020402878834,0.73825756642813778,-0.0090327417579104952,13.054190573448928,0.96165443534620998,7.8218331616889802,20.249834448649402
10.1038/ncomms2533,121.91302436428766,0.17197075727267208,3.8183483110433225,0.523346597233315,-0.0035756359777190383,5.6536834391856932,0.97482830104862428,3.7094188376753507,7.0782720584612324
10.1038/ncomms2640,29.774455228544191,0.14637884269873885,2.4851616632477591,0.55812407749125736,-0.001042524987244775,3.12292921027354,0.96416635672238238,2.4528650646950094,2.2190771171059192
10.1038/ncomms2568,44.786823185165019,0.13247284481595833,3.6212099434078042,0.94825149817309429,-0.0025111378125102224,5.0002136497120624,0.99297487836708032,3.5881188118811882,17.191773804937547
