doi,"views, total","views, first month","views, first week","views, first day"
10.1038/ncomms2597,1610,400,217,59
10.1038/ncomms2838,2607,694,320,74
10.1038/ncomms2885,6398,1254,522,106
10.1038/ncomms2587,10560,1122,667,133
10.1038/ncomms7983,2707,722,386,149
10.1038/ncomms8179,1972,984,716,181
10.1038/ncomms2962,3218,766,470,61
10.1038/ncomms2831,2302,394,146,21
10.1038/ncomms2760,3458,925,464,93
10.1038/ncomms7928,1783,705,446,127
10.1038/ncomms8315,5333,1314,777,127
10.1038/ncomms3084,3071,1202,578,33
10.1038/ncomms7738,724,317,244,98
10.1038/ncomms2367,1636,527,330,92
10.1038/ncomms7851,3080,900,501,68
10.1038/ncomms2696,4814,1463,635,178
10.1038/ncomms2882,4333,1323,643,73
10.1038/ncomms2598,3364,686,359,60
10.1038/ncomms8406,533,208,151,36
10.1038/ncomms3086,1903,746,395,50
10.1038/ncomms2757,11828,1559,790,130
10.1038/ncomms2705,10590,2380,1608,344
10.1038/ncomms8258,6327,2338,746,238
10.1038/ncomms2586,6008,1735,1164,165
10.1038/ncomms8533,3317,1210,720,131
10.1038/ncomms7784,3134,583,321,66
10.1038/ncomms3024,2799,1329,785,176
10.1038/ncomms3105,2053,700,472,82
10.1038/ncomms8044,5798,1900,942,437
10.1038/ncomms2619,1684,525,266,54
10.1038/ncomms2724,1688,521,270,36
10.1038/ncomms2794,1697,579,418,71
10.1038/ncomms8004,1524,386,178,44
10.1038/ncomms2537,3111,502,263,18
10.1038/ncomms7775,753,194,94,1
10.1038/ncomms8377,1586,787,549,173
10.1038/ncomms8012,966,187,87,21
10.1038/ncomms7767,2484,490,335,156
10.1038/ncomms8282,735,247,178,42
10.1038/ncomms7991,5386,785,405,71
10.1038/ncomms8359,1545,682,469,74
10.1038/ncomms8571,5399,2915,1877,194
10.1038/ncomms2923,3930,2230,820,207
10.1038/ncomms8475,2996,1180,486,54
10.1038/ncomms2722,3118,637,305,81
10.1038/ncomms2366,4301,955,525,162
10.1038/ncomms8130,900,233,113,59
10.1038/ncomms2393,4220,956,604,120
10.1038/ncomms2993,684,273,156,64
10.1038/ncomms2555,15623,2162,1466,317
10.1038/ncomms7754,3210,901,536,77
10.1038/ncomms7929,7328,899,474,41
10.1038/ncomms2350,2512,1061,619,157
10.1038/ncomms2972,7561,2439,1529,168
10.1038/ncomms2799,2576,794,430,70
10.1038/ncomms2768,6922,1399,752,77
10.1038/ncomms7938,6606,1644,634,113
10.1038/ncomms3014,1452,506,289,34
10.1038/ncomms8034,1160,259,130,43
10.1038/ncomms8354,1583,441,275,43
10.1038/ncomms2738,13709,1813,924,261
10.1038/ncomms2531,1914,642,358,145
10.1038/ncomms2739,1851,406,181,50
10.1038/ncomms8184,2272,1068,617,46
10.1038/ncomms7839,623,174,102,13
10.1038/ncomms7710,2110,707,520,97
